mode,domain,task,seed,success,strict_grasp_success,attempt_count,retry_executed,gate_decision,terminal_label,recovery_label,target_distance_m
learned_top_rule_recovery,severe_contact_shift,move_leftmost_cube_to_bowl,751,True,True,1,False,accept_terminal,complete,accept,0.006679672576200862
learned_top_front_rule_recovery,severe_contact_shift,move_leftmost_cube_to_bowl,751,True,True,1,False,accept_terminal,complete,accept,0.006679672576200862
rule_rgb_retry,severe_contact_shift,move_leftmost_cube_to_bowl,752,True,True,1,False,visual_target_confirmed,,,0.004275659654692969
learned_top_rule_recovery,severe_contact_shift,move_leftmost_cube_to_bowl,752,True,True,1,False,accept_terminal,complete,accept,0.004275659654692969
learned_top_front_rule_recovery,severe_contact_shift,move_leftmost_cube_to_bowl,752,True,True,1,False,accept_terminal,complete,accept,0.004275659654692969
rule_rgb_retry,severe_contact_shift,move_leftmost_cube_to_bowl,753,False,True,1,False,source_not_visually_in_workspace,,,0.12337372849239885
learned_top_rule_recovery,severe_contact_shift,move_leftmost_cube_to_bowl,753,False,True,1,False,stop_rule_retry_source_not_visual,not_complete,stop,0.12337372849239885
learned_top_front_rule_recovery,severe_contact_shift,move_leftmost_cube_to_bowl,753,False,True,1,False,stop_rule_retry_source_not_visual,not_complete,stop,0.12337372849239885
rule_rgb_retry,severe_contact_shift,move_leftmost_cube_to_bowl,754,True,True,1,False,visual_target_confirmed,,,0.00737693461517758
learned_top_rule_recovery,severe_contact_shift,move_leftmost_cube_to_bowl,754,True,True,1,False,accept_terminal,complete,accept,0.00737693461517758
learned_top_front_rule_recovery,severe_contact_shift,move_leftmost_cube_to_bowl,754,True,True,1,False,accept_terminal,complete,accept,0.00737693461517758
