视频类型,版本,结果,视频文件,元数据文件,ffprobe可播放,元数据存在,宽度,高度,fps,帧数,视频时长秒,索引时长秒,时长偏差秒,时长通过,分辨率通过,审计状态,说明
候选诊断片段,contact_stage_subpolicy_v1_candidate,success=True,outputs/videos/contact_stage_subpolicy_v1_candidate_seed0.mp4,outputs/videos/contact_stage_subpolicy_v1_candidate_seed0.json,是,是,640,480,24.00,238,9.917,9.900,0.017,是,是,通过,ffprobe 可解码，元数据存在，时长和分辨率满足展示审计门槛。
补充片段,core_v2_expert_leftmost_cube_holdout,success=True,outputs/videos/core_v2_expert_leftmost_cube_seed420.mp4,outputs/videos/core_v2_expert_leftmost_cube_seed420.json,是,是,640,480,24.00,238,9.917,9.900,0.017,是,是,通过,ffprobe 可解码，元数据存在，时长和分辨率满足展示审计门槛。
补充片段,object_action_head_core_v2_train20_failure,success=False,outputs/videos/core_v2_object_action_head_leftmost_cube_seed420.mp4,outputs/videos/core_v2_object_action_head_leftmost_cube_seed420.json,是,是,640,480,24.00,238,9.917,9.900,0.017,是,是,通过,ffprobe 可解码，元数据存在，时长和分辨率满足展示审计门槛。
补充片段,domain_randomization_structured_low_friction_v1,success=True,outputs/videos/domain_randomization_structured_low_friction_seed0.mp4,outputs/videos/domain_randomization_structured_low_friction_seed0.json,是,是,640,480,24.00,238,9.917,9.900,0.017,是,是,通过,ffprobe 可解码，元数据存在，时长和分辨率满足展示审计门槛。
补充片段,domain_randomization_trajectory_knn_low_friction_v1,success=False,outputs/videos/domain_randomization_trajectory_knn_low_friction_seed0.mp4,outputs/videos/domain_randomization_trajectory_knn_low_friction_seed0.json,是,是,640,480,24.00,238,9.917,9.900,0.017,是,是,通过,ffprobe 可解码，元数据存在，时长和分辨率满足展示审计门槛。
补充片段,domain_randomization_visual_act_cnn_cvae_low_friction_v1,success=False,outputs/videos/domain_randomization_visual_act_cnn_cvae_low_friction_seed0.mp4,outputs/videos/domain_randomization_visual_act_cnn_cvae_low_friction_seed0.json,是,是,640,480,24.00,238,9.917,9.900,0.017,是,是,通过,ffprobe 可解码，元数据存在，时长和分辨率满足展示审计门槛。
候选诊断片段,grasp_gated_torch_act_state_chunk_v1_candidate,success=False,outputs/videos/grasp_gated_torch_act_state_chunk_v1_candidate_seed0.mp4,outputs/videos/grasp_gated_torch_act_state_chunk_v1_candidate_seed0.json,是,是,640,480,24.00,238,9.917,9.900,0.017,是,是,通过,ffprobe 可解码，元数据存在，时长和分辨率满足展示审计门槛。
候选诊断片段,grasp_gated_trajectory_conditioned_chunk_bc_v1_candidate,success=True,outputs/videos/grasp_gated_trajectory_conditioned_chunk_bc_v1_candidate_seed0.mp4,outputs/videos/grasp_gated_trajectory_conditioned_chunk_bc_v1_candidate_seed0.json,是,是,640,480,24.00,238,9.917,9.900,0.017,是,是,通过,ffprobe 可解码，元数据存在，时长和分辨率满足展示审计门槛。
候选诊断片段,grasp_gated_trajectory_knn_v1_candidate,success=True,outputs/videos/grasp_gated_trajectory_knn_v1_candidate_seed0.mp4,outputs/videos/grasp_gated_trajectory_knn_v1_candidate_seed0.json,是,是,640,480,24.00,238,9.917,9.900,0.017,是,是,通过,ffprobe 可解码，元数据存在，时长和分辨率满足展示审计门槛。
候选诊断片段,grasp_lift_subpolicy_probe_v1_candidate,success=True,outputs/videos/grasp_lift_subpolicy_probe_v1_candidate_seed0.mp4,outputs/videos/grasp_lift_subpolicy_probe_v1_candidate_seed0.json,是,是,640,480,24.00,238,9.917,9.900,0.017,是,是,通过,ffprobe 可解码，元数据存在，时长和分辨率满足展示审计门槛。
